ANNA
MARIA
ZOFIA
KATARZYNA
MALGORZATA
KRYSTYNA
BARBARA
AGNIESZKA
JANINA
EWA
ELZBIETA
HELENA
TERESA
JADWIGA
MAGDALENA
JOANNA
MARIANNA
ALEKSANDRA
IRENA
MONIKA
DANUTA
STANISLAWA
HALINA
MARTA
NATALIA
JULIA
KAROLINA
BEATA
DOROTA
ALICJA
GRAZYNA
JOLANTA
IWONA
WIKTORIA
PAULINA
BOZENA
URSZULA
JUSTYNA
ZUZANNA
RENATA
HANNA
EMILIA
AGATA
WANDA
WERONIKA
SYLWIA
JOZEFA
STEFANIA
GENOWEFA
PATRYCJA
IZABELA
MAJA
WLADYSLAWA
ANETA
KAZIMIERA
EWELINA
OLIWIA
MARTYNA
KLAUDIA
GABRIELA
WIESLAWA
MARZENA
DOMINIKA
KINGA
EDYTA
LENA
ANIELA
AMELIA
KAMILA
BRONISLAWA
LUCYNA
ALINA
ANTONINA
LIDIA
CZESLAWA
REGINA
LEOKADIA
HENRYKA
MIROSLAWA
MARIOLA
LUCJA
SABINA
WIOLETTA
NIKOLA
DARIA
MILENA
CECYLIA
MICHALINA
BOGUMILA
OLGA
FRANCISZKA
EUGENIA
ANGELIKA
ROZALIA
LAURA
BOGUSLAWA
SANDRA
ILONA
GERTRUDA
MARLENA
KORNELIA
NADIA
ANITA
NINA
ZDZISLAWA
LILIANA
IGA
JAGODA
MARCELINA
ANASTAZJA
DANIELA
WIOLETA
POLA
KLARA
ROZA
ADRIANNA
KARINA
ROKSANA
DAGMARA
MALWINA
SARA
PELAGIA
APOLONIA
ZANETA
ELIZA
JULIANNA
HONORATA
MIECZYSLAWA
BERNADETA
ADELA
WALERIA
LUDWIKA
CELINA
TETIANA
NATALIIA
ALDONA
ELEONORA
KAJA
JULITA
OLENA
FELIKSA
IRYNA
WACLAWA
BLANKA
VIOLETTA
OKSANA
ALFREDA
MATYLDA
MAGDA
DIANA
FELICJA
BRYGIDA
LILIANNA
AURELIA
BOZENNA
SVITLANA
OLHA
IZABELLA
WALENTYNA
ADRIANA
PAULA
HILDEGARDA
MARIIA
ELWIRA
