JAN
STANISLAW
PIOTR
ANDRZEJ
KRZYSZTOF
JOZEF
TOMASZ
PAWEL
MICHAL
ADAM
TADEUSZ
MARCIN
MAREK
JERZY
GRZEGORZ
JAKUB
HENRYK
ZBIGNIEW
LUKASZ
KAZIMIERZ
WOJCIECH
MATEUSZ
RYSZARD
MARIAN
DARIUSZ
WLADYSLAW
MARIUSZ
FRANCISZEK
ANTONI
ROBERT
MACIEJ
RAFAL
JACEK
JANUSZ
KAMIL
ROMAN
DAWID
MIROSLAW
SZYMON
EDWARD
MIECZYSLAW
KACPER
SLAWOMIR
JAROSLAW
WIESLAW
CZESLAW
BARTOSZ
ZDZISLAW
STEFAN
ARTUR
KAROL
ALEKSANDER
SEBASTIAN
DAMIAN
PATRYK
DANIEL
PRZEMYSLAW
EUGENIUSZ
ZYGMUNT
FILIP
LESZEK
ADRIAN
WALDEMAR
ARKADIUSZ
BOGDAN
MIKOLAJ
DOMINIK
WIKTOR
BARTLOMIEJ
KRYSTIAN
RADOSLAW
KONRAD
BRONISLAW
HUBERT
WACLAW
BOLESLAW
ZENON
BOGUSLAW
WLODZIMIERZ
WITOLD
LEON
IGOR
IRENEUSZ
OSKAR
SYLWESTER
MAKSYMILIAN
MARCEL
JULIAN
MILOSZ
EDMUND
IGNACY
OLEKSANDR
OLIWIER
NIKODEM
CEZARY
ALAN
NORBERT
FELIKS
LUDWIK
GABRIEL
LECH
EMIL
BERNARD
LUCJAN
SERHII
BLAZEJ
ERYK
FABIAN
ANDRII
TYMOTEUSZ
VOLODYMYR
ALOJZY
ALFRED
TYMON
ROMUALD
SZCZEPAN
WINCENTY
DMYTRO
IVAN
REMIGIUSZ
KSAWERY
MYKOLA
GERARD
NATAN
VITALII
IHOR
VASYL
TEODOR
LEONARD
BORYS
OLAF
BOGUMIL
YURII
KAJETAN
SEWERYN
MAKSYM
ALBERT
JOACHIM
OLEH
LESLAW
BOHDAN
KONSTANTY
ADOLF
ALFONS
WALENTY
KUBA
VIKTOR
GRACJAN
MYKHAILO
RUDOLF
ERNEST
TOBIASZ
BENEDYKT
HIERONIM
BRUNO
FLORIAN
KORNEL
JULIUSZ
VLADYSLAV
OLIVIER
OLEKSII
ZYGFRYD
RAJMUND
AUGUSTYN
JEDRZEJ
ALEXANDER
RUSLAN
TEOFIL
LEOPOLD
ALEX
ALBIN
GUSTAW
BRUNON
ALEKSY
DAVID
KLAUDIUSZ
PAVLO
WILHELM
FRYDERYK
DENYS
ERWIN
ANATOLII
ARTEM
VADYM
ALEKS
DORIAN
MARCELI
WALERIAN
YAROSLAV
CYPRIAN
PETRO
OLIVER
MARTIN
NATANIEL
YEVHEN
HERBERT
KLEMENS
DENIS
MICHAEL
VALERII
SERGIUSZ
ALIAKSANDR
BRAJAN
ANTON
YEVHENII
SAMUEL
TARAS
MIESZKO
